"subject_nr","language","duration","age","gender","Exemplar","CategoryCorrect","CategoryLeft","CategoryRight","Color","correctResponse","correct","count","Condition","File","mt_id","xpos_max","xpos_min","ypos_max","ypos_min","MAD","MAD_time","MD_above","MD_above_time","MD_below","MD_below_time","AD","AUC","xpos_flips","ypos_flips","xpos_reversals","ypos_reversals","RT","initiation_time","idle_time","total_dist","vel_max","vel_max_time","vel_min","vel_min_time","acc_max","acc_max_time","acc_min","acc_min_time"
18,"de",2015.72,40,"female","blau","blau","gelb","blau","#0F89CA","blau",TRUE,1,"congruent","preprocessed_train_data.csv","id0001",0,-336,0,-397,-93.279854912253,265,0.301228790640601,15,-93.279854912253,265,-51.0231327688535,-22097,3,1,0,0,578,0,47,567.137788317875,5.42135694370986,125,0,0,0.13072284832656,125,-0.162250156202039,140
18,"de",1737,40,"female","grün","lila","lila","grün","#8632eb","lila",TRUE,1,"incongruent","preprocessed_train_data.csv","id0002",364,0,0,-363,46.2546606246407,63,46.2546606246407,63,0,0,14.362910535875,15635.5,0,0,0,0,297,0,0,525.77735776313,9.03154963939682,63,0,0,0.176809655305315,32,-0.356694070582668,78
18,"de",1209.66,40,"female","gelb","gelb","rot","gelb","#F9DF30","gelb",TRUE,1,"congruent","preprocessed_train_data.csv","id0003",0,-405,0,-323,-4.42253269876583,93,0,0,-4.42253269876583,93,-2.45458374102766,-1644.5,0,0,0,0,172,0,0,518.741296227872,8.75557857882619,15,0,0,0.255628162429113,15,-0.246417046986348,31
18,"de",1241.44,40,"female","lila","lila","lila","grün","#8632eb","lila",TRUE,1,"congruent","preprocessed_train_data.csv","id0004",449,0,0,-412,-16.1458575728655,32,11.4126520933252,63,-16.1458575728655,32,-3.54356006967684,-2903.5,1,0,0,0,188,0,0,620.591300959823,8.73860865641665,47,0,0,0.275831273165097,16,-0.296590652823489,63
18,"de",1211.26000000001,40,"female","gelb","blau","blau","gelb","#0F89CA","blau",TRUE,1,"incongruent","preprocessed_train_data.csv","id0005",249,0,0,-274,37.624333981148,47,37.624333981148,47,0,0,17.2339076589408,8615,0,0,0,0,141,0,0,380.076445625832,7.78319503802905,0,0,0,0.0617026747815649,47,-0.192171622444697,62
18,"de",1143.67999999999,40,"female","grün","grün","grün","rot","#22AF48","grün",TRUE,1,"congruent","preprocessed_train_data.csv","id0006",288,0,0,-270,10.98865413736,63,10.98865413736,63,-1.36788225776266,16,2.87255274130159,1586.5,0,0,0,0,188,0,0,396.71130600139,6.93862603474204,16,0,0,0.256542501409586,16,-0.180726527909668,78
18,"de",1272.45999999999,40,"female","lila","rot","lila","rot","#EE224A","rot",TRUE,1,"incongruent","preprocessed_train_data.csv","id0007",0,-316,0,-307,-9.68510384271601,47,0,0,-9.68510384271601,47,-3.49922703480678,-2538.5,0,0,0,0,172,0,0,441.253606561048,6.3061009720193,0,0,0,0.0199025625705049,78,-0.189588874912478,94
18,"de",1189.88,40,"female","grün","grün","lila","grün","#22AF48","grün",TRUE,1,"congruent","preprocessed_train_data.csv","id0008",0,-338,0,-291,-5.20840235302602,63,0,0,-5.20840235302602,63,-2.22438914095441,-1618.5,0,0,0,0,172,0,0,446.889265298099,5.80981120605481,31,0,0,0.0281722341665529,31,-0.101952545295284,63
18,"de",1062.57999999999,40,"female","grün","grün","grün","lila","#22AF48","grün",TRUE,1,"congruent","preprocessed_train_data.csv","id0009",353,0,0,-309,-4.90474534256052,15,1.52194184032519,78,-4.90474534256052,15,-1.25239497250084,-871,0,0,0,0,171,0,0,469.621654487736,8.16632652352873,31,0,0,0.161971921455268,31,-0.267220978593917,46
18,"de",1060.85999999999,40,"female","lila","gelb","lila","gelb","#F9DF30","gelb",TRUE,1,"incongruent","preprocessed_train_data.csv","id0010",0,-334,0,-321,-5.81764138067772,31,1.91259007913931,78,-5.81764138067772,31,-1.07915988381836,-692,0,0,0,0,203,0,0,464.381878125895,6.22325388272798,47,0,0,0.128784214461956,47,-0.199785100529527,62
18,"de",1081.23999999999,40,"female","rot","rot","rot","blau","#EE224A","rot",TRUE,1,"congruent","preprocessed_train_data.csv","id0011",300,0,0,-296,12.414427388596,47,12.414427388596,47,-0.0379646097510737,125,4.64402088779817,2479,0,0,0,0,141,0,0,422.905014313456,6.69800576664428,31,0,0,0.0952152364114464,16,-0.203107950663178,47
18,"de",1320.44,40,"female","lila","lila","lila","blau","#8632eb","lila",TRUE,1,"congruent","preprocessed_train_data.csv","id0012",388,0,0,-332,-5.3186647638798,188,2.3029270111644,94,-5.3186647638798,188,-2.21013508031166,-991,0,0,0,0,219,0,0,513.819008291998,6.9279779338434,16,0,0,0.231381622418901,16,-0.194685641086989,63
18,"de",1160.92000000001,40,"female","gelb","gelb","gelb","blau","#F9DF30","gelb",TRUE,1,"congruent","preprocessed_train_data.csv","id0013",329,0,0,-341,11.5292683946755,78,11.5292683946755,78,-7.48357783773009,31,3.1935466118959,873.5,0,0,0,0,156,0,0,476.728627939631,6.8364268861913,31,0,0,0.0730794025832996,15,-0.159211728886229,62
18,"de",1145,40,"female","grün","grün","rot","grün","#22AF48","grün",TRUE,1,"congruent","preprocessed_train_data.csv","id0014",0,-380,0,-359,-4.77271861965312,47,1.18026749031103,94,-4.77271861965312,47,-0.98212155697003,-1061,0,0,0,0,188,0,0,523.574870661336,9.62081077664456,32,0,0,0.293697437249503,32,-0.343682040478033,47
18,"de",1208.07999999999,40,"female","blau","blau","lila","blau","#0F89CA","blau",TRUE,1,"congruent","preprocessed_train_data.csv","id0015",0,-348,0,-408,10.472655574025,110,10.472655574025,110,-0.402794445154814,47,3.91357072020784,2566,0,0,0,0,157,0,0,538.967470396965,8.18845414287703,47,0,0,0.196364627462348,47,-0.207155438489244,63
18,"de",1157.07999999999,40,"female","grün","grün","blau","grün","#22AF48","grün",TRUE,1,"congruent","preprocessed_train_data.csv","id0016",0,-331,0,-283,15.9522106302407,62,15.9522106302407,62,-0.760066463021407,172,4.71299657666413,3785.5,0,0,0,0,187,0,0,437.709258467403,5.3079024223322,15,0,0,0.15860787138669,15,-0.0858710498748529,125
18,"de",1093.47999999998,40,"female","rot","rot","blau","rot","#EE224A","rot",TRUE,1,"congruent","preprocessed_train_data.csv","id0017",0,-323,0,-292,-4.57716058409815,31,0.610900509468192,15,-4.57716058409815,31,-1.65586190724274,-633,0,0,0,0,187,0,0,436.195064069128,5.86635001512866,15,0,0,0.274767758090334,15,-0.134970642771552,93
18,"de",1033.46000000002,40,"female","rot","rot","rot","grün","#EE224A","rot",TRUE,1,"congruent","preprocessed_train_data.csv","id0018",292,0,0,-314,13.9089391420097,63,13.9089391420097,63,-1.15674611241396,125,3.85177798238485,2349,0,0,0,0,141,0,0,431.202934589454,6.9453784094173,16,0,0,0.315282194918694,16,-0.308119830831803,63
18,"de",1078.15999999997,40,"female","blau","blau","blau","lila","#0F89CA","blau",TRUE,1,"congruent","preprocessed_train_data.csv","id0019",270,0,0,-307,-9.87186633126525,16,8.21595614636273,63,-9.87186633126525,16,0.935712910983,-980,0,0,0,0,141,0,0,411.349783520533,9.23592021523693,16,0,0,0.275551996035908,16,-0.303228014349129,31
